ngram,freq,cumshare,en
morgen,9640488,0.555,morning
Männer,9617204,0.555,men
einzelnen,9614016,0.556,individual
darin,9572787,0.556,in this
besteht,9562293,0.556,consists
Mensch,9541287,0.556,person
bald,9501506,0.557,soon
jede,9492593,0.557,every
dadurch,9472488,0.557,thereby
blieb,9431582,0.557,stayed
bitte,9393164,0.557,You're welcome
jeden,9382941,0.558,every
bringen,9365486,0.558,bring
ihres,9333846,0.558,hers
Familie,9304991,0.558,family
Mädchen,9300306,0.558,girl
Tage,9295383,0.559,days
möchte,9292422,0.559,would like
geworden,9252162,0.559,become
insbesondere,9251136,0.559,especially
nächsten,9233468,0.559,next
vielen,9213386,0.56,many
Raum,9133009,0.56,space
Angst,9120875,0.56,fear
junge,9060080,0.56,boy
rief,9053996,0.56,shouted
Hause,9006792,0.561,home
hoch,8968880,0.561,high
genug,8908067,0.561,enough
Leute,8892223,0.561,people
hinaus,8843084,0.561,out
bleibt,8826725,0.562,remains
konnten,8818191,0.562,could
darf,8812298,0.562,may
bestimmt,8799702,0.562,definitely
all,8786122,0.562,alles
halten,8775219,0.563,keep
gute,8773380,0.563,quality
richtig,8711357,0.563,correct
Sinne,8681152,0.563,senses
stellt,8671006,0.563,puts
führen,8655699,0.564,to lead
alte,8653845,0.564,old
Hände,8651588,0.564,hands
innerhalb,8641644,0.564,inside
Geld,8606013,0.564,money
unser,8590665,0.565,our
jungen,8549933,0.565,boys
tatsächlich,8545440,0.565,indeed
langsam,8524758,0.565,slow
Luft,8515584,0.565,air
heißt,8434795,0.566,called
Richtung,8412379,0.566,direction
Eltern,8402879,0.566,parents
Rolle,8387387,0.566,role
eigene,8269637,0.566,own
siehe,8264760,0.566,please refer
sprechen,8215933,0.567,speak
führt,8212761,0.567,leads
aufgrund,8191572,0.567,because of
fand,8134791,0.567,found
Rahmen,8108585,0.567,frame
außerdem,8107193,0.568,in addition to that
erkennen,8106109,0.568,recognize
unserer,8095282,0.568,ours
gegeben,8067933,0.568,given
damals,8063772,0.568,back then
niemand,8022591,0.568,nobody
tat,8021834,0.569,did
los,8019477,0.569,come on
zeigen,8015827,0.569,demonstrate
jemand,8008236,0.569,someone
lang,7998633,0.569,long
Uhr,7993261,0.569,watch
Ziel,7969285,0.57,target
sowohl,7966430,0.57,either
legte,7948441,0.57,laid
Bereich,7929802,0.57,area
Buch,7928866,0.57,a book
folgenden,7923582,0.571,following
nämlich,7907554,0.571,namely
begriff,7850914,0.571,expression
Gefühl,7840230,0.571,feeling
gekommen,7835441,0.571,came
dein,7833781,0.571,your
liegen,7829366,0.572,lie
Sache,7826027,0.572,matter
Tod,7791319,0.572,death
Hilfe,7789478,0.572,help
verschiedenen,7789135,0.572,different
verstehen,7777950,0.572,to understand
Zimmer,7765649,0.573,room
danach,7734578,0.573,thereafter
setzte,7729939,0.573,sat
direkt,7692036,0.573,direct
stellte,7682034,0.573,asked
wert,7667073,0.574,value
glauben,7658374,0.574,believe
schwer,7658279,0.574,difficult
Land,7653505,0.574,country
begann,7594101,0.574,started
findet,7573834,0.574,finds
Herz,7569357,0.575,heart
Worte,7539948,0.575,words
völlig,7526673,0.575,fully
scheint,7521487,0.575,seems
Möglichkeit,7506964,0.575,possibility
hörte,7499707,0.575,heard
stark,7497548,0.576,strong
glaube,7482250,0.576,believe
häufig,7450562,0.576,frequently
erhalten,7448463,0.576,receive
heraus,7434093,0.576,out of here
dagegen,7423587,0.576,against it
fuhr,7415983,0.577,drove
Abend,7408946,0.577,evening
somit,7403628,0.577,consequently
Licht,7383298,0.577,light
Zusammenhang,7376357,0.577,connection
meisten,7336403,0.577,most
Personen,7299024,0.578,persons
zweiten,7291696,0.578,second
Dinge,7289699,0.578,things
weiteren,7273387,0.578,further
arbeiten,7270835,0.578,work
deutsche,7270830,0.578,German
wobei,7257809,0.578,whereby
Person,7213896,0.579,person
jedem,7206017,0.579,each
Patienten,7161142,0.579,patients
hätten,7139684,0.579,had
sprach,7096680,0.579,spoke
schritt,7071875,0.579,step
Platz,7058946,0.58,place
Bett,7051576,0.58,bed
handelt,7042668,0.58,acts
Minuten,7038697,0.58,minutes
solchen,7032663,0.58,such
hören,7029575,0.58,listen
Kraft,7010207,0.581,power
statt,7001949,0.581,instead of
Situation,6983070,0.581,situation
Stunden,6976490,0.581,hours
verhalten,6966528,0.581,behave
Sprache,6951041,0.581,language
trotz,6948362,0.581,in spite of
jedes,6945475,0.582,each
kannst,6937919,0.582,can
unten,6924688,0.582,below
fort,6905865,0.582,away
essen,6904713,0.582,meal
Ort,6888231,0.582,location
fünf,6872186,0.583,five
Mund,6857168,0.583,mouth
Natur,6845865,0.583,nature
Sohn,6833933,0.583,son
Problem,6830681,0.583,problem
gleichzeitig,6814459,0.583,simultaneously
anderes,6791578,0.583,other
Gruppe,6765789,0.584,group
meist,6749862,0.584,most of time
Lage,6733890,0.584,location
wichtig,6728208,0.584,important
bekommen,6685138,0.584,to get
guten,6666144,0.584,good
gefunden,6650458,0.584,found
schön,6647258,0.585,nice
fiel,6625720,0.585,fell
welcher,6610207,0.585,which one
nickte,6609849,0.585,nodded
Antwort,6605818,0.585,answer
manchmal,6602570,0.585,sometimes
Informationen,6559024,0.586,information
versuchte,6546960,0.586,tried
laut,6539178,0.586,noisy
darum,6523646,0.586,therefore
wahrscheinlich,6512523,0.586,probably
Tisch,6505062,0.586,table
Satz,6482694,0.586,sentence
Sinn,6478613,0.587,sense
Augenblick,6472415,0.587,moment
hab,6413895,0.587,have
Freund,6412330,0.587,friend
herum,6380029,0.587,hereabouts
mehrere,6366779,0.587,several
tief,6365082,0.587,deep
Aufgabe,6361533,0.588,task
trat,6360168,0.588,stepped
folgen,6351460,0.588,follow
antwortete,6349803,0.588,answered
weder,6328051,0.588,neither
bisher,6327669,0.588,so far
zumindest,6316597,0.588,at least
lieber,6314516,0.589,rather
dennoch,6297406,0.589,nonetheless
alter,6281392,0.589,age
arme,6276605,0.589,poor
bedeutet,6270099,0.589,means
fühlte,6269635,0.589,felt
Arm,6241757,0.589,poor
na,6238068,0.589,well
System,6236406,0.59,system
Glück,6230755,0.59,happiness
früher,6196822,0.59,previously
Bewegung,6161507,0.59,movement
reden,6127243,0.59,talk
zugleich,6116421,0.59,simultaneously
Daten,6092199,0.59,data
beispielsweise,6069144,0.591,for example
anderer,6051507,0.591,another
welches,6049971,0.591,which
Abbildung,6025047,0.591,illustration
besten,6016087,0.591,best
München,6011278,0.591,Munich
Kirche,6006197,0.591,church
groß,5978476,0.592,big
meinte,5966457,0.592,meant
kosten,5966174,0.592,costs
König,5953234,0.592,king
verlassen,5937902,0.592,leaving
Straße,5929965,0.592,street
Verfahren,5925622,0.592,procedure
kamen,5924508,0.592,came
nimmt,5915519,0.593,takes
Fenster,5905644,0.593,window
Schule,5876085,0.593,school
Ordnung,5870530,0.593,order
trotzdem,5810404,0.593,nevertheless
Thema,5799003,0.593,theme
außer,5795963,0.593,except
gern,5794105,0.593,gladly
Regel,5775043,0.594,rule
Anfang,5765830,0.594,beginning
Erde,5763401,0.594,earth
Himmel,5743124,0.594,heaven
könnten,5734400,0.594,could
stets,5731835,0.594,always
letzte,5724862,0.594,last
leise,5704551,0.595,quietly
rechts,5683293,0.595,to the right
helfen,5671111,0.595,help
Lebens,5671049,0.595,life
saß,5622601,0.595,sat
bekannt,5613009,0.595,known
tut,5611147,0.595,does
gleichen,5602380,0.595,same
frei,5602287,0.596,free
warf,5601640,0.596,threw
Stunde,5601455,0.596,hour
erreicht,5582085,0.596,reached
bestimmten,5578605,0.596,certain
wagen,5577809,0.596,dare
einzige,5571269,0.596,only
führte,5551693,0.596,led
allgemeinen,5551438,0.597,general
genommen,5547561,0.597,taken
verschiedene,5543430,0.597,various
politischen,5525440,0.597,political
ziemlich,5524026,0.597,quite
gebracht,5518928,0.597,brought
neu,5515504,0.597,new
Wahrheit,5505639,0.597,truth
Wochen,5503064,0.598,weeks
bezeichnet,5497305,0.598,designated
Verbindung,5491862,0.598,connection
vergessen,5491643,0.598,forget
Wirkung,5472652,0.598,effect
Nähe,5472455,0.598,vicinity
Ausdruck,5468136,0.598,expression
keiner,5465929,0.598,none
Beziehung,5459689,0.598,relationship
Tochter,5451316,0.599,daughter
mag,5451058,0.599,like
zehn,5436271,0.599,ten
Fällen,5436200,0.599,cases
willst,5427053,0.599,want
Höhe,5424289,0.599,height
Seiten,5402969,0.599,pages
lediglich,5393983,0.599,only
Zukunft,5391046,0.6,future
Menge,5390526,0.6,crowd
Stück,5364633,0.6,piece
Praxis,5359710,0.6,practice
ernst,5357508,0.6,serious
hohen,5355461,0.6,high
Entscheidung,5354712,0.6,decision
brachte,5353643,0.6,brought
Rücken,5351025,0.601,the back
blickte,5332753,0.601,looked
Verlag,5319785,0.601,publisher
zuerst,5319100,0.601,first
ehe,5293428,0.601,marriage
schaute,5289950,0.601,looked
zudem,5281036,0.601,in addition
Probleme,5272640,0.601,problems
zeigte,5259704,0.601,showed
Bruder,5258950,0.602,brothers
durchaus,5258366,0.602,absolutely
jeweils,5256877,0.602,respectively
Lippen,5254999,0.602,lips
vielmehr,5249742,0.602,much more
vorbei,5247961,0.602,over
sozialen,5241468,0.602,social
Herrn,5217577,0.602,Mr
versucht,5217234,0.603,tries
lernen,5214106,0.603,to learn
ach,5207018,0.603,oh
Funktion,5195535,0.603,function
Blut,5177693,0.603,blood
daraus,5177629,0.603,from it
niemals,5176876,0.603,no way
lächeln,5169190,0.603,smile
Idee,5156013,0.603,idea
erreichen,5140669,0.604,reach
bestimmte,5135995,0.604,particular
zuvor,5127811,0.604,before
näher,5127265,0.604,closer
entsprechend,5125242,0.604,corresponding
standen,5121700,0.604,stood
treffen,5112604,0.604,meeting
inzwischen,5092733,0.604,in the meantime
zweite,5092662,0.604,second
Ruhe,5091315,0.605,quiet
Literatur,5090738,0.605,literature
einigen,5087899,0.605,some
Gottes,5077916,0.605,God
verloren,5064825,0.605,lost
dürfen,5063584,0.605,allowed to
schreiben,5060011,0.605,write
seien,5059864,0.605,be
setzen,5052849,0.605,put
Seele,5040974,0.606,soul
spricht,5039689,0.606,speaks
Interesse,5030207,0.606,interest
suchen,5024435,0.606,looking for
lächelte,5002892,0.606,smiled
handeln,4997220,0.606,act
Gefahr,4992848,0.606,danger
Analyse,4964882,0.606,analysis
Folge,4962211,0.606,consequence
Reihe,4960465,0.607,row
Vergleich,4934998,0.607,comparison
Mitarbeiter,4934751,0.607,employee
Sonne,4927194,0.607,sun
Darstellung,4919355,0.607,Depiction
ziehen,4916654,0.607,draw
gerne,4914569,0.607,gladly
folgende,4910479,0.607,the following
Tagen,4909418,0.607,days
kennen,4905463,0.608,know
spielen,4896687,0.608,to play
Anwendung,4890449,0.608,application
geschehen,4888710,0.608,happen
Mitte,4877812,0.608,center
wären,4872657,0.608,would be
drehte,4871774,0.608,turned
fallen,4866829,0.608,fall
bezug,4866229,0.608,relation
Sicherheit,4862359,0.609,security
hob,4858917,0.609,lifted
Verhältnis,4831853,0.609,relationship
Ebene,4828403,0.609,level
Kindern,4822787,0.609,children
selten,4819334,0.609,rare
getan,4800878,0.609,did
großer,4798827,0.609,greater
erklärte,4798701,0.609,explained
gehabt,4793695,0.61,had
erwiderte,4793629,0.61,replied
jedenfalls,4786011,0.61,in any case
miteinander,4783787,0.61,commonality
trug,4759346,0.61,wore
erfahren,4758458,0.61,experienced
voll,4754452,0.61,full
Theorie,4745372,0.61,theory
Finger,4742419,0.61,finger
Zeichen,4738786,0.61,sign
langen,4731273,0.611,long
Lösung,4730915,0.611,solution
Haut,4718857,0.611,skin
Wesen,4715784,0.611,beings
griff,4711729,0.611,handle
Schwester,4711019,0.611,sister
gemeinsam,4705197,0.611,together
draußen,4701350,0.611,outside
rechte,4700336,0.611,right
Ergebnis,4698305,0.612,result
nutzen,4695114,0.612,to use
Zahl,4693493,0.612,number
wollten,4687878,0.612,wanted to
Geist,4686621,0.612,spirit
weißt,4686060,0.612,know
wann,4680509,0.612,when
Untersuchung,4673965,0.612,investigation
wahr,4672786,0.612,true
schüttelte,4667125,0.612,shook
setzt,4660467,0.613,puts
Ergebnisse,4659418,0.613,results
erfolgt,4654594,0.613,he follows
leider,4643984,0.613,unfortunately
Wohnung,4641939,0.613,apartment
entgegen,4635245,0.613,opposite
erneut,4630810,0.613,anew
schlug,4626779,0.613,struck
schloss,4622076,0.613,castle
hervor,4616034,0.613,out
Kunden,4601967,0.614,customers
verbunden,4601540,0.614,tied together
Maßnahmen,4599125,0.614,measures
Punkt,4591475,0.614,point
Erfahrung,4589696,0.614,experience
soziale,4582682,0.614,social
verwendet,4575104,0.614,used
Freunde,4572486,0.614,friends
erzählt,4560578,0.614,told
sorgen,4553225,0.615,worries
verstanden,4523412,0.615,Roger that
rede,4523338,0.615,speech
Mittel,4521811,0.615,middle
folgt,4521681,0.615,follows
Kunst,4515777,0.615,art
wenigstens,4515515,0.615,at least
bereit,4513449,0.615,ready
Gespräch,4510869,0.615,conversation
wirst,4503221,0.615,will
hält,4492794,0.616,holds
öffnete,4491806,0.616,opened
Prozent,4486914,0.616,percent
hohe,4474263,0.616,height
offenbar,4466837,0.616,apparently
unseren,4459290,0.616,ours
Meinung,4454730,0.616,opinion
Freiheit,4449860,0.616,freedom
fällt,4438551,0.616,falls
wandte,4436344,0.616,turned
hinein,4427735,0.617,in
Aufgaben,4423843,0.617,tasks
insgesamt,4421633,0.617,all in all
genannt,4416423,0.617,called
meines,4410531,0.617,mine
länger,4404187,0.617,longer
tragen,4401884,0.617,wear
versuchen,4394990,0.617,to attempt
läßt,4392206,0.617,leaves
politische,4387746,0.617,political
lesen,4385316,0.617,read
sechs,4378284,0.618,six
wenige,4373208,0.618,few
entweder,4372799,0.618,either
ähnlich,4369571,0.618,similar
Erfolg,4364900,0.618,success
Politik,4359285,0.618,politics
könne,4357039,0.618,could
Händen,4356116,0.618,hands
Krieg,4351420,0.618,war
Verfügung,4346223,0.618,disposal
spürte,4345549,0.619,felt
erscheint,4341891,0.619,appears
pro,4340767,0.619,per
Text,4339297,0.619,text
Brief,4330263,0.619,letter
vorher,4324108,0.619,before
Frankfurt,4322417,0.619,Frankfurt
Möglichkeiten,4301849,0.619,possibilities
Anzahl,4299331,0.619,number
bewusst,4295087,0.619,deliberately
warten,4284052,0.62,waiting
verstand,4281308,0.62,understanding
Beginn,4277237,0.62,beginning
bloß,4273372,0.62,just
lachte,4270027,0.62,laughed
erklären,4261162,0.62,to explain
links,4259943,0.62,left
andererseits,4258955,0.62,on the other hand
ergibt,4258070,0.62,results
bringt,4257826,0.62,brings
nahe,4257666,0.62,vicinity
Auge,4252300,0.621,eye
unserem,4251020,0.621,our
jene,4240975,0.621,those
entfernt,4235201,0.621,away
kleiner,4220248,0.621,smaller
mindestens,4216545,0.621,at least
Zustand,4216424,0.621,condition
wiederum,4216227,0.621,in turn
rechten,4214946,0.621,right
ruhig,4214148,0.621,calm
oh,4205181,0.622,oh
Spiel,4204817,0.622,game
Zeitpunkt,4181200,0.622,time
Sicht,4175998,0.622,view
gestellt,4171483,0.622,placed
Formen,4163654,0.622,to form
falls,4156604,0.622,if
Musik,4156552,0.622,music
erster,4155304,0.622,first
passiert,4154451,0.622,happened
offen,4152699,0.622,open
andern,4146540,0.623,change
Behandlung,4145147,0.623,treatment
bestehen,4142250,0.623,exist
überall,4139180,0.623,all over
betrachtet,4138204,0.623,considered
fahren,4132694,0.623,drive
möglichst,4129435,0.623,possible
irgendwie,4126929,0.623,somehow
Freude,4111429,0.623,joy
deinen,4101344,0.623,yours
Bildung,4101229,0.623,training
schaffen,4101040,0.624,create
entwickelt,4098781,0.624,developed
erklärt,4086525,0.624,explained
besondere,4083324,0.624,special
notwendig,4072053,0.624,necessary
bisschen,4067066,0.624,a little
soweit,4059932,0.624,so far
gingen,4056717,0.624,went
Tabelle,4054429,0.624,tabel
Band,4049000,0.624,tape
denke,4046388,0.624,think
sobald,4044871,0.625,as soon as
Werk,4040624,0.625,plant
weiterhin,4039993,0.625,farther
Jahrhundert,4039249,0.625,century
voller,4021228,0.625,full of
sodass,4002418,0.625,so that
Abschnitt,4000234,0.625,section
Worten,3995174,0.625,words
genauso,3991641,0.625,just like that
Einsatz,3984891,0.625,mission
alt,3984596,0.625,old
welchen,3984274,0.626,which
Bilder,3981450,0.626,pictures
Erfahrungen,3980937,0.626,experiences
Woche,3980819,0.626,week
Brust,3977393,0.626,breast
lief,3977382,0.626,ran
sehe,3976075,0.626,see
mußte,3972938,0.626,had to
hinzu,3969170,0.626,added
leid,3962498,0.626,suffering
Gesetz,3960774,0.626,law
danke,3953053,0.626,thanks
sage,3949405,0.627,legend
einzelne,3946819,0.627,separate
Wege,3945193,0.627,ways
gedacht,3943832,0.627,thought
rein,3943594,0.627,pure
europäischen,3943104,0.627,European
Kultur,3937465,0.627,culture
Hans,3929336,0.627,hans
neues,3921874,0.627,new
selber,3921230,0.627,myself
