ngram,freq,cumshare,en
אפילו,32344,0.24,even
ספר,31923,0.24,book
האם,31783,0.241,the mother
איש,31721,0.241,man
אולם,31587,0.242,hall
שבו,31502,0.242,sit
הרבה,31496,0.243,much
גדול,31118,0.243,big
לע,31057,0.244,to
בדרך,30944,0.244,through
כתב,30650,0.245,wrote
אחרים,30598,0.245,others
בעל,30364,0.246,husband
במקום,30278,0.246,instead of
פעם,30095,0.247,time
דברי,30003,0.247,my words
הראשון,29793,0.248,the first one
כלומר,29724,0.248,that is
וכל,29608,0.249,and all
ואם,29588,0.249,and if
ואין,29504,0.25,and there is no
ממנו,29386,0.25,from him
בארץ,29243,0.251,in Israel
ללא,29185,0.251,with no
שלה,29130,0.252,its
הארץ,29100,0.252,country
אומר,29079,0.253,says
ת,29014,0.253,"T, tav, 400"
ירושלים,28988,0.253,Jerusalem
איך,28719,0.254,how
נ,28641,0.254,"N, nun, 50"
מכל,28586,0.255,tank
אי,28523,0.255,an island
ניתן,27829,0.256,you can
אותי,27828,0.256,me
בלי,27680,0.257,without
אינה,27619,0.257,is not
"הקב""ה",27551,0.258,God
מהם,27454,0.258,from them
לעיל,27260,0.258,above
היינו,27142,0.259,we were
הספר,27107,0.259,the book
אור,27006,0.26,light
רוצה,26927,0.26,wants to
ש,26911,0.261,that
שהרי,26897,0.261,after all
ראש,26835,0.261,head
שלנו,26664,0.262,our
דברים,26397,0.262,stuff
אנשים,26147,0.263,people
לקבל,26145,0.263,get
מפני,25932,0.264,because
שנה,25768,0.264,sleep
אולי,25719,0.264,maybe
לכן,25626,0.265,so
ביום,25620,0.265,on the day
תמיד,25548,0.266,always
אנחנו,25516,0.266,we
הציונות,25494,0.266,Zionism
לבין,25444,0.267,and between
בא,25434,0.267,come
בשם,25384,0.268,on behalf of
ולכן,25374,0.268,and hence
שכל,25232,0.268,cerebro
נמצא,25178,0.269,available
כ,25156,0.269,about
החיים,25062,0.27,life
למה,24961,0.27,why
דין,24918,0.27,law
אמנם,24836,0.271,indeed
ראו,24830,0.271,see
בעולם,24751,0.272,in the world
וזה,24634,0.272,and this
שום,24509,0.272,garlic
הבית,24315,0.273,the house
מספר,24301,0.273,a number
ג,24279,0.274,third
הדבר,24015,0.274,the thing
שלהם,23964,0.274,their
שתי,23937,0.275,two
"הרמב""ם",23841,0.275,Maimonides
עדיין,23750,0.275,still
יוסף,23673,0.276,Yosef
היהודים,23555,0.276,the jews
הדברים,23229,0.277,the things
בשנת,23198,0.277,in the year
ממש,23194,0.277,really
אצל,23124,0.278,at
דוד,23066,0.278,uncle
שוב,23004,0.278,again
ואז,22885,0.279,and then
הזמן,22836,0.279,the time
יעקב,22622,0.28,Jacob
בלבד,22543,0.28,only
יודע,22500,0.28,knows
עכשיו,22418,0.281,now
קשה,22405,0.281,hard
ועוד,22323,0.281,and more
שבת,22293,0.282,sabbath
לראות,22000,0.282,see
שאינו,21867,0.282,which is not
יהודה,21833,0.283,Yehuda
אינם,21825,0.283,gone
ואף,21746,0.283,and even
שאני,21743,0.284,I am
לכך,21709,0.284,for that
אחרת,21689,0.284,other
העיר,21636,0.285,the city
לב,21461,0.285,heart
אליו,21397,0.286,to his
הדין,21382,0.286,the law
יד,21363,0.286,hand
מצד,21358,0.287,pillbox
הראשונה,21259,0.287,the first
השני,21225,0.287,the second
"רש""י",21168,0.288,Rashi
ימים,21101,0.288,days
למעלה,20982,0.288,up
שלום,20973,0.289,peace
פרק,20951,0.289,chapter
עולם,20811,0.289,world
היהודית,20741,0.29,the jewish
כולם,20664,0.29,everyone
שבין,20547,0.29,between
דהיינו,20495,0.291,namely
אוה,20494,0.291,oh
היהודי,20315,0.291,the Jew
הכל,20284,0.292,everything
שכן,20254,0.292,neighbor
בזמן,20182,0.292,while
המלך,20040,0.292,the king
יהודי,19939,0.293,Jewish
קודם,19868,0.293,previous
עליהם,19839,0.293,on them
הנה,19803,0.294,here
הזאת,19757,0.294,this
רבה,19715,0.294,a lot
ויש,19691,0.295,and there is
שונים,19592,0.295,various
ארץ,19456,0.295,country
העם,19456,0.296,the people
הייתי,19445,0.296,I was
בעת,19420,0.296,phobia
ואני,19354,0.297,and me
בי,19323,0.297,me
לדעת,19279,0.297,know
שהיו,19233,0.298,which were
אביב,19174,0.298,spring
עבודה,19154,0.298,working
"ע""י",19135,0.298,by
משהו,19110,0.299,something
והיא,19053,0.299,and she
כו,18988,0.299,c
אברהם,18983,0.3,Abraham
לעולם,18810,0.3,forever
למשל,18733,0.3,for example
יצחק,18728,0.301,Itzhak
יחד,18701,0.301,together
הפלסטינים,18684,0.301,The Palestinians
סוף,18629,0.301,end
נגד,18606,0.302,against
הגמרא,18480,0.302,The Gemara
בחינת,18477,0.302,exam
העבודה,18450,0.303,the job
רבינו,18436,0.303,rabbi us
הגדול,18407,0.303,the big
מעשה,18292,0.304,act
עליה,18228,0.304,increase
תוך,18206,0.304,within
בכך,18202,0.304,in so doing
וכו,18185,0.305,and so
החינוך,18096,0.305,the education
והנה,17990,0.305,and here it is
בעלי,17958,0.306,with
נקרא,17945,0.306,called
עשה,17832,0.306,made
יהודים,17819,0.306,Jews
שזה,17669,0.307,of such
גדולה,17576,0.307,greatness
בעיקר,17540,0.307,mainly
רבות,17525,0.308,many
מזה,17511,0.308,from this
שבה,17469,0.308,she returned
סימן,17416,0.308,sign
לשם,17383,0.309,opal
בר,17378,0.309,bar
המדינה,17365,0.309,the state
עשרה,17235,0.309,ten
בישראל,17207,0.31,in Israel
עצמה,17139,0.31,herself
הללו,17125,0.31,these
ח,17110,0.311,H
הכול,17072,0.311,everything
בלתי,17037,0.311,non
באמצעות,17028,0.311,through
וכוי,16979,0.312,etc
פה,16951,0.312,here
עתה,16937,0.312,now
איסור,16917,0.312,prohibition
בכלל,16903,0.313,at all
רוח,16893,0.313,breeze
נעשה,16878,0.313,has been done
חייב,16837,0.314,have to
כמעט,16797,0.314,almost
כאילו,16772,0.314,like
"הנ""ל",16758,0.314,the above
לגבי,16689,0.315,regarding
באמת,16658,0.315,really
מים,16658,0.315,water
זצ,16585,0.315,Z
כגון,16572,0.316,such as
לבית,16556,0.316,to house
האלה,16430,0.316,these
"ד""ה",16386,0.316,D. H
דווקא,16369,0.317,exactly
רואה,16341,0.317,views
עושה,16271,0.317,is doing
כלי,16223,0.318,tool
שלך,16210,0.318,your
אבא,16176,0.318,father
שלמה,16101,0.318,Shlomo
דומה,16058,0.319,similar
כזה,16039,0.319,such a
ומה,16024,0.319,and what
להבין,16015,0.319,to understand
עולה,15978,0.32,costs
אלסאנע,15883,0.32,Alsana
הים,15807,0.32,the sea
כלפי,15739,0.32,towards
והם,15692,0.321,and they are
המאה,15646,0.321,the century
ואילו,15623,0.321,whereas
שגם,15601,0.321,that
הגטו,15585,0.322,the ghetto
תל,15582,0.322,Tel
אנשי,15549,0.322,people
וכך,15540,0.322,and so
ובין,15460,0.323,and between
בספר,15430,0.323,in the book
ברור,15419,0.323,obviously
פני,15381,0.323,penny
בפני,15370,0.324,to me
ועד,15314,0.324,committee
תחת,15314,0.324,under
מעט,15304,0.324,a little
דעת,15280,0.325,knowledge
נשים,15245,0.325,women
מיד,15232,0.325,immediately
די,15224,0.325,enough
בראשית,15221,0.326,genesis
כתוב,15213,0.326,write
רוב,15203,0.326,majority
ריבלץ,15093,0.326,Rivaltz
איציק,15039,0.326,Itzik
בת,15003,0.327,a girl
כיצד,14990,0.327,how
הכנסת,14983,0.327,the knesset
ק,14912,0.327,K
"צה""ל",14765,0.328,IDF
ודאי,14754,0.328,certainly
למרות,14749,0.328,although
המשפט,14739,0.328,the trial
כוח,14693,0.329,force
השם,14623,0.329,the Name
המלחמה,14618,0.329,the war
לזה,14600,0.329,to that
לשון,14591,0.33,tongue
ס,14544,0.33,S
העליון,14479,0.33,the top
לכ,14455,0.33,approx
חדש,14330,0.33,new
כיון,14329,0.331,since
נוסף,14308,0.331,additional
לדבר,14299,0.331,speak
אכן,14288,0.331,indeed
אותנו,14276,0.332,us
"כמ""ש",14251,0.332,as a
חשוב,14223,0.332,it is important
פנים,14128,0.332,face
אות,14123,0.333,letter
ספק,14100,0.333,doubt
במשך,14060,0.333,during
אמרה,14044,0.333,saying
ימי,14032,0.333,maritime
הז,14032,0.334,the
פחות,13954,0.334,less
זהו,13952,0.334,this
לארץ,13946,0.334,to the country
יכולים,13874,0.335,can
ילדים,13864,0.335,children
נפש,13853,0.335,soul
כה,13846,0.335,so
הקיבוץ,13817,0.335,the kibbutz
תהיה,13750,0.336,be
יהוה,13711,0.336,lord
בשנות,13658,0.336,in years
ואמר,13657,0.336,and said
ידע,13642,0.337,knowledge
ממנה,13628,0.337,from her
קצת,13623,0.337,some
לתת,13601,0.337,give
הרמביים,13576,0.337,The Rambiim
קטן,13566,0.338,little
בידי,13565,0.338,in my hand
באותו,13552,0.338,in the same
הדרך,13493,0.338,the road
תשובה,13484,0.338,answer
ללמוד,13482,0.339,learn
בתי,13460,0.339,my daughter
בירושלים,13448,0.339,in Jerusalem
יכולה,13440,0.339,can
שונות,13424,0.34,various
עצמם,13384,0.34,themselves
גוריון,13370,0.34,Gurion
לעומת,13368,0.34,Vs
מעל,13355,0.34,above
הלא,13353,0.341,isn't it
בנושא,13350,0.341,on the subject
מדי,13306,0.341,every
ניטשה,13303,0.341,Nietzsche
להלן,13301,0.341,below
שאם,13300,0.342,that if
דהאמשה,13298,0.342,Dhamsha
החברה,13273,0.342,the company
עמוד,13169,0.342,page
הראשונים,13137,0.343,the first ones
בשבת,13128,0.343,on Saturday
נאמר,13121,0.343,spoken
המלכות,13104,0.343,the kingdoms
צריכים,13081,0.343,need
המקום,13047,0.344,the place
הציונית,13007,0.344,the Zionist
בנו,13006,0.344,they built
עלי,12973,0.344,pestle
למעשה,12967,0.344,in fact
הבעש,12954,0.345,the smoke
והיה,12947,0.345,and was
ככל,12894,0.345,as much as
עבור,12857,0.345,for
הערה,12849,0.345,note
משנה,12803,0.346,Mishna
פעמים,12801,0.346,twice
האור,12786,0.346,the light
עלינו,12757,0.346,on us
ג',12716,0.346,third'
הלכה,12713,0.347,went
מול,12712,0.347,opposite
בתורה,12712,0.347,Torah
מאד,12709,0.347,very
וזהו,12673,0.347,and that's it
העברית,12623,0.348,the hebrew
השנה,12585,0.348,this year
מצרים,12584,0.348,Egypt
בקרב,12580,0.348,among
דבריו,12576,0.348,his words
נתן,12576,0.349,Nathan
אירופה,12559,0.349,Europe
"ע""ב",12538,0.349,by
ראשון,12534,0.349,first
ורק,12490,0.349,and only
הבא,12481,0.35,the next
יצא,12475,0.35,came out
השנייה,12451,0.35,the second
איזה,12439,0.35,which
אסור,12368,0.35,forbidden
אחרות,12353,0.351,others
כולל,12327,0.351,including
איה,12311,0.351,Aya
והן,12300,0.351,and they are
בבחינת,12287,0.351,in the exam
מדוע,12230,0.352,why
אותן,12228,0.352,them
צורך,12123,0.352,need
אתם,12110,0.352,you
ליד,12110,0.352,next to
להגיע,12108,0.353,to arrive
ביניהם,12099,0.353,including
מצב,12064,0.353,situation
אמרו,12051,0.353,said
שכתב,12045,0.353,who wrote
חכמה,12036,0.354,wisdom
היהדות,12022,0.354,Judaism
באותה,12005,0.354,in the same
הגיע,11991,0.354,has come
מאז,11983,0.354,since
רצון,11951,0.355,desire
קשר,11946,0.355,link
אמא,11924,0.355,mother
שאלה,11900,0.355,a question
שעה,11897,0.355,hour
נכון,11896,0.355,right
בתקופת,11881,0.356,during the period
שמות,11858,0.356,names
והבה,11852,0.356,and let
מערכת,11850,0.356,editorial board
"וע""כ",11840,0.356,etc
"התשס""ד",11821,0.357,5664
"מפד""ל",11807,0.357,from the Federal Ministry of Defense
הברית,11786,0.357,United States
יוצא,11745,0.357,outgoing
שמואל,11730,0.357,Shmuel
מנת,11715,0.358,portion
לציין,11713,0.358,note
בהן,11703,0.358,in them
לידי,11692,0.358,to
הממשלה,11640,0.358,the government
לכם,11633,0.359,to you
למטה,11622,0.359,down
שיהיה,11612,0.359,so be it
הגוף,11607,0.359,the body
הלאומי,11600,0.359,the national
במה,11590,0.359,in what
פשוט,11511,0.36,simple
אותך,11510,0.36,you
ערך,11495,0.36,value
בגלל,11456,0.36,because of
מלחמת,11448,0.36,a war
היטב,11432,0.361,well
אליה,11408,0.361,to her
הילדים,11400,0.361,the children
חי,11400,0.361,live
יפה,11394,0.361,pretty
בראש,11384,0.361,in mind
שבהם,11383,0.362,in which
קסטנר,11381,0.362,Kastner
בשעה,11371,0.362,at
"מפא""י",11344,0.362,Mapai
מלך,11337,0.362,king
פעולה,11336,0.363,action
סי,11282,0.363,si
בצורה,11279,0.363,in a way
במיוחד,11262,0.363,especially
הימים,11260,0.363,the days
אורלב,11254,0.363,Orlev
שנות,11237,0.364,years
בשביל,11230,0.364,for
ביטוי,11209,0.364,phrase
שונה,11208,0.364,different
ע,11203,0.364,P
בשל,11194,0.365,mature
עשר,11186,0.365,ten
דף,11162,0.365,page
הקב,11155,0.365,the crutch
בסוף,11121,0.365,at the end
לאור,11117,0.365,in light of
ראוי,11115,0.366,proper
במהלך,11113,0.366,during
פ,11102,0.366,P
המים,11087,0.366,the water
"תע""ל",11083,0.366,Tel
"התשס""ז",11080,0.366,6677
בדבר,11065,0.367,regarding
שמעון,11064,0.367,Shimon
דוקא,11052,0.367,precisely
בימי,11050,0.367,in my days
"התשס""ו",11033,0.367,666
בעיר,11027,0.368,in the city
יהיו,11006,0.368,will
לאדם,10983,0.368,per person
שעל,10982,0.368,on
מכן,10964,0.368,then
חכמים,10930,0.368,wise men
"חז""ל",10920,0.369,sage
השואה,10904,0.369,the holocaust
עניין,10902,0.369,interest
במקרה,10901,0.369,by any chance
יסוד,10882,0.369,fundamental
אומרת,10874,0.369,says
הזו,10833,0.37,this one
עמו,10810,0.37,with him
להביא,10807,0.37,bring
פירוש,10804,0.37,interpretation
בתל,10767,0.37,in the mound
מעבר,10767,0.37,transition
שלושה,10756,0.371,three
ינא,10745,0.371,Yana
ברוך,10720,0.371,blessed
עומד,10720,0.371,standing
האמת,10708,0.371,the truth
טעם,10703,0.372,taste
סלמוביץ,10702,0.372,Selmowitz
שמו,10690,0.372,his name
למצוא,10679,0.372,find
לעתים,10645,0.372,sometimes
תפקיד,10642,0.372,role
אולמרט,10629,0.373,Olmert
הסיפור,10626,0.373,the story
עבר,10608,0.373,moved
םע,10583,0.373,Sa
טובה,10576,0.373,favor
הישיבה,10574,0.373,the sitting
כנגד,10567,0.374,against
שאץ,10567,0.374,Shatz
"ע""א",10555,0.374,A.A
השנים,10540,0.374,the years
צריכה,10534,0.374,consumption
ההוא,10532,0.374,that
יהושע,10496,0.375,Joshua
ושל,10489,0.375,and of
ערב,10474,0.375,evening
לגמרי,10463,0.375,completely
מדובר,10449,0.375,spoken
המחלקה,10380,0.375,the ward
כנראה,10375,0.376,probably
הקהילה,10359,0.376,community
החל,10353,0.376,applied
סיפור,10317,0.376,a story
קו,10256,0.376,line
הוי,10247,0.376,hey
שלוש,10245,0.377,three
האחרון,10241,0.377,the last one
למען,10240,0.377,address
שנאמר,10231,0.377,which is said
"התשס""ח",10224,0.377,1958
בדיוק,10192,0.377,exactly
כולו,10191,0.378,the whole
מותר,10187,0.378,permitted
ולפיכך,10187,0.378,and therefore
מאיר,10186,0.378,Meir
לצאת,10185,0.378,to go out
החדשה,10184,0.378,the new
בעוד,10170,0.379,while
אומרים,10168,0.379,they say
המציאות,10164,0.379,the reality
לישראל,10156,0.379,to Israel
כבוד,10144,0.379,respect
אביו,10115,0.379,his father
עלה,10112,0.379,increased
אבן,10081,0.38,stone
שאינם,10066,0.38,which are not
הוועד,10057,0.38,the committee
האדמו,10010,0.38,the red
משמעות,9995,0.38,meaning
לצורך,9966,0.38,for the purpose
לפחות,9943,0.381,at least
שאר,9939,0.381,rest
כיוון,9929,0.381,because
ללכת,9921,0.381,go
ועיין,9907,0.381,and look
החדש,9896,0.381,the new
לעצמו,9858,0.382,himself
דלא,9857,0.382,Della
בלא,9852,0.382,without
כח,9847,0.382,power
עיקר,9845,0.382,main thing
אמת,9844,0.382,truth
שאמר,9831,0.382,who said
הפסוק,9826,0.383,the verse
מכאן,9825,0.383,hence
ענין,9824,0.383,matter
שכבר,9821,0.383,already
מקור,9806,0.383,source
לבא,9797,0.383,to come
מצוה,9762,0.384,commandment
הפעולה,9734,0.384,the action
"כנ""ל",9730,0.384,same as above
מחדש,9726,0.384,re
חוק,9686,0.384,law
כלום,9673,0.384,is nothing
הציבור,9671,0.385,the public
ליה,9670,0.385,Leah
שעות,9655,0.385,hours
עצמי,9646,0.385,myself
משפט,9646,0.385,sentence
אלי,9634,0.385,to me
שינוי,9633,0.385,change
חדשים,9628,0.386,new ones
סדר,9621,0.386,order
מבין,9620,0.386,understand
בעקבות,9612,0.386,following
ואינו,9600,0.386,and is not
חדשה,9565,0.386,new
הקשר,9558,0.387,connection
באה,9558,0.387,came
החוק,9557,0.387,the law
הקדוש,9541,0.387,the saint
חיי,9507,0.387,my life
הרצון,9481,0.387,the will
ובכל,9462,0.387,and in all
ובעיקר,9448,0.388,and above all
כסף,9426,0.388,of money
אהד,9425,0.388,sympathizer
הולך,9415,0.388,going
בעניין,9413,0.388,in the matter
וכמו,9411,0.388,and like
"אש""ף",9406,0.388,wizard
הי,9394,0.389,hi
החכמה,9385,0.389,the wisdom
"ז""ל",9385,0.389,the late
ואחר,9379,0.389,and another
הרשב,9363,0.389,Hasherb
מרצ,9359,0.389,march
המצב,9344,0.39,the situation
מציאות,9342,0.39,reality
חברי,9338,0.39,my friend
בשארה,9335,0.39,Bashara
באשר,9324,0.39,as to
לכאורה,9313,0.39,seemingly
ואפילו,9299,0.39,and even
אפוא,9292,0.391,therefore
האינתיפאדה,9287,0.391,the intifada
האוכלוסייה,9285,0.391,the population
וא,9284,0.391,and
התנועה,9246,0.391,traffic
חוץ,9238,0.391,outside
"זצ""ל",9211,0.391,ZTL
קול,9198,0.392,voice
בלשון,9164,0.392,in the tongue
מחמת,9160,0.392,because of
הרע,9155,0.392,the bad
הכתוב,9152,0.392,the scripture
הטוב,9150,0.392,the good
מחוץ,9115,0.393,outside
מעלה,9111,0.393,brings up
במסגרת,9109,0.393,within
המשפחה,9107,0.393,the family
כמובן,9098,0.393,of course
"ע""כ",9090,0.393,acc
כאלה,9087,0.393,such
טיבי,9084,0.394,Tibi
הבריטי,9067,0.394,the British
האמריקני,9067,0.394,the american
לספר,9058,0.394,tell
למקום,9052,0.394,to the place
ויאמר,9044,0.394,and said
מלכות,9029,0.394,kingdom
שיעור,9027,0.395,lesson
הכי,9021,0.395,the most
ילש,9008,0.395,Yelash
תהליך,9005,0.395,process
אוהש,8969,0.395,ohh
שהן,8963,0.395,which they are
קיים,8953,0.395,exists
שנת,8945,0.396,year
מאשר,8937,0.396,than
בשנים,8934,0.396,in the years
"חד""ש",8933,0.396,new
מלא,8895,0.396,full
בדברי,8882,0.396,in my words
השאלה,8872,0.396,the question
האנשים,8866,0.397,the people
לבוא,8863,0.397,come
השבת,8857,0.397,the Sabbath
כהן,8852,0.397,Cohen
הטבע,8842,0.397,the nature
הלילה,8836,0.397,the night
ואולי,8830,0.397,and maybe
בתחום,8790,0.398,in the field
ביחס,8786,0.398,in relation
אהבה,8770,0.398,love
האיש,8763,0.398,the man
פעולות,8762,0.398,operations
המשנה,8762,0.398,the vice
בקיבוץ,8752,0.398,in a kibbutz
שמא,8748,0.399,perhaps
שייך,8739,0.399,belongs
המ,8733,0.399,Hm
שאנו,8726,0.399,that we
מעין,8709,0.399,kind of
"ז""א",8705,0.399,ZA
הקבלה,8704,0.399,reception
יודעת,8678,0.399,know
הגדולה,8644,0.4,the big one
משם,8636,0.4,from there
הגאון,8619,0.4,the genius
הלאומית,8613,0.4,the national
לענין,8604,0.4,interest
שמים,8601,0.4,sky
בינה,8600,0.4,intelligence
אמרתי,8587,0.401,I said
איננו,8582,0.401,gone
מדיניות,8577,0.401,policy
כיום,8574,0.401,currently
מטעם,8557,0.401,on behalf of
אש,8535,0.401,fire
בל,8529,0.401,belle
בספרות,8529,0.402,in the literature
ציון,8520,0.402,grade
עמי,8498,0.402,my people
משרד,8473,0.402,office
לאומית,8470,0.402,national
המצוות,8458,0.402,the commandments
גלאון,8456,0.402,Galeon
נוסח,8451,0.402,formula
פתח,8449,0.403,opening
והרי,8449,0.403,and so
הכללית,8442,0.403,the general
שכר,8431,0.403,wage
המתנחלים,8424,0.403,the settlers
הנשים,8411,0.403,women
ידוע,8402,0.403,known
הוועדה,8396,0.404,the committee
ידו,8387,0.404,his hand
לחזור,8371,0.404,return
הביניים,8370,0.404,the intermediate
שימוש,8365,0.404,use
מהו,8363,0.404,what is
בעצם,8336,0.404,actually
נושא,8330,0.405,topic
הקודש,8324,0.405,the holy
להמשיך,8318,0.405,continue
לתוך,8317,0.405,into
וכי,8315,0.405,and that
עיין,8308,0.405,browse
יודעים,8289,0.405,know
חבר,8264,0.405,member
מבחינת,8254,0.406,in terms of
נוספת,8249,0.406,another one
נודלמן,8247,0.406,Noodleman
שמחה,8246,0.406,joy
ושם,8245,0.406,and there
הביטחון,8245,0.406,the security
פסוק,8244,0.406,verse
מיוחד,8234,0.406,special
מצוות,8227,0.407,Commandments
רע,8216,0.407,bad
"האצ""ל",8214,0.407,The Echelon
לבד,8213,0.407,own
הצנחנים,8194,0.407,the paratroopers
מאות,8192,0.407,hundreds
לעמוד,8191,0.407,to stand
אישה,8191,0.408,wife
בספרו,8190,0.408,in his book
רגע,8187,0.408,moment
הערבית,8168,0.408,Arabic
כאמור,8165,0.408,as mentioned
אבי,8151,0.408,Avi
ועם,8150,0.408,and with
המהר,8148,0.408,hurry up
שבע,8147,0.409,seven
ראשי,8135,0.409,main
הא,8107,0.409,huh
זחאלקה,8097,0.409,Zahalka
אוכל,8089,0.409,food
בעיני,8077,0.409,in my eyes
עמד,8072,0.409,stood
הביא,8053,0.409,resulted in
עצם,8047,0.41,closed
הנפש,8046,0.41,the soul
היחיד,8037,0.41,the only one
לפניו,8037,0.41,before him
מקבל,8036,0.41,getting
ארבע,8027,0.41,four
מדבר,8027,0.41,speak
יהודית,8019,0.411,Jewish girl
עקיבא,8017,0.411,Akiva
ראיתי,8013,0.411,have seen
המזרחים,8010,0.411,the Mizrahim
מצות,7994,0.411,unleavened bread
מס,7990,0.411,tax
מאת,7966,0.411,by
הדעת,7958,0.411,the mind
מעולם,7958,0.412,ever
לעבוד,7949,0.412,work
לפעמים,7943,0.412,sometimes
לקראת,7924,0.412,towards
שאתה,7908,0.412,that you
בחיי,7906,0.412,in my life
רואים,7880,0.412,see
נותן,7877,0.412,gives
קרוב,7876,0.413,close
לבן,7876,0.413,white
נוספים,7873,0.413,more
שלגי,7867,0.413,snowy
מרגי,7866,0.413,Margie
קטנה,7863,0.413,small
וראה,7834,0.413,and see
ספרות,7824,0.413,Digits
בשני,7792,0.414,in the second
לעניין,7781,0.414,regarding
כוחות,7778,0.414,forces
בפרק,7756,0.414,in the chapter
לקיים,7750,0.414,to hold
הלב,7746,0.414,the heart
מבחינה,7741,0.414,observes
סביב,7734,0.414,around
ומשום,7733,0.415,and because of that
ציבור,7728,0.415,public
החולים,7720,0.415,the patients
שהאדם,7696,0.415,that the person
שמע,7695,0.415,audio
להשפיע,7694,0.415,affect
אלוהים,7692,0.415,God
בהמשך,7691,0.415,going forward
המוחין,7686,0.416,the cerebrum
שער,7682,0.416,gate
האל,7671,0.416,the god
"ע""ש",7668,0.416,moth
משמע,7662,0.416,hearing
