ngram,freq,cumshare,en
认为,165592,0.357,think
存在,165358,0.358,exist
基本,164834,0.359,basic
最,164017,0.36,most
建立,162294,0.36,establish
具有,161969,0.361,have
这种,161860,0.362,this
理论,161133,0.363,theory
成本,159388,0.363,cost
如,158870,0.364,like
本,158210,0.365,book
目标,157391,0.366,target
价值,157000,0.366,value
总,156756,0.367,total
规定,156576,0.368,regulation
同时,155307,0.369,at the same time
区,154823,0.369,area
元,154660,0.37,yuan
时间,154341,0.371,time
金融,153563,0.372,finance
历史,152988,0.372,history
内,152900,0.373,inside
对于,152673,0.374,for
城市,152440,0.374,city
很,152389,0.375,very
科学,151995,0.376,science
方法,151644,0.377,method
合作,150648,0.377,cooperation
系统,150180,0.378,system
行为,149987,0.379,behavior
一些,148649,0.379,some
经营,148106,0.38,operate
学,148071,0.381,study
改革,147776,0.382,reform
台湾,146406,0.382,Taiwan
根据,146066,0.383,according to
不是,145338,0.384,no
做,144690,0.384,do
已经,143809,0.385,already
但是,143756,0.386,but
高,143585,0.386,high
法律,142993,0.387,law
安全,142486,0.388,safety
给,141696,0.388,give
又,141553,0.389,again
好,140889,0.39,it is good
加强,140254,0.39,strengthen
使用,139618,0.391,use
指,138913,0.392,refer to
不能,138563,0.392,cannot
作用,138239,0.393,effect
我国,138143,0.394,my country
计划,137765,0.394,plan
当,137137,0.395,when
由于,137109,0.395,because
思想,137047,0.396,thought
创新,136520,0.397,innovation
形成,135880,0.397,form
相关,135766,0.398,related
该,135676,0.399,should
提出,135404,0.399,propose
全国,134506,0.4,national
什么,133245,0.401,what
领导,133178,0.401,lead
比,132919,0.402,compare
工业,132853,0.402,industry
实施,131935,0.403,implement
业务,131791,0.404,business
部,131724,0.404,department
发生,131025,0.405,occur
分,130966,0.406,minute
内容,130159,0.406,content
则,130089,0.407,but
水平,130051,0.407,level
去,129831,0.408,go
省,129814,0.409,province
即,129628,0.409,which is
增加,128345,0.41,increase
数,127881,0.41,number
标准,127565,0.411,standard
十,127390,0.412,ten
积极,127254,0.412,positive
体系,126661,0.413,system
家,125952,0.413,family
个人,125869,0.414,personal
让,125781,0.415,let
结构,125744,0.415,structure
农村,125521,0.416,rural
五,125078,0.416,five
四,124638,0.417,four
一定,123757,0.418,must
产生,123158,0.418,produce
关于,122948,0.419,about
学习,122495,0.419,study
或者,122269,0.42,or
开始,121544,0.42,start
资本,121425,0.421,capital
责任,121280,0.422,responsibility
已,119861,0.422,already
完成,119603,0.423,finish
党,119424,0.423,party
不断,119134,0.424,constantly
解决,119048,0.424,solve
条件,118932,0.425,condition
能够,118365,0.426,were able
其中,118146,0.426,in
资产,117940,0.427,assets
她,117648,0.427,she
中央,117630,0.428,central
开展,117211,0.428,carry out
人们,116890,0.429,people
学生,116808,0.429,student
利益,116676,0.43,benefit
权,116463,0.43,right
也是,115730,0.431,too
全,115457,0.432,complete
过,114827,0.432,pass
之间,114551,0.433,between
银行,114482,0.433,bank
风险,113975,0.434,risk
间,113972,0.434,between
力,113970,0.435,force
人类,113941,0.435,humanity
看,113099,0.436,look
有关,113047,0.436,related
行政,112682,0.437,administrative
机制,112676,0.437,mechanism
大学,112652,0.438,the university
需求,111606,0.439,need
资金,111081,0.439,funds
部分,110910,0.44,part
地方,110891,0.44,place
人口,110805,0.441,population
同,110385,0.441,same
农业,110194,0.442,agriculture
应该,109842,0.442,should
中心,109769,0.443,center
知识,109713,0.443,knowledge
所以,109413,0.444,so
代表,109033,0.444,represent
控制,108295,0.445,control
保障,107687,0.445,assure
为了,107057,0.446,for
出现,106776,0.446,appear
变化,106372,0.447,variety
里,106243,0.447,inside
精神,106180,0.448,spirit
质量,106007,0.448,quality
得到,105768,0.449,get
们,105579,0.449,they
报告,105457,0.45,report
直接,105332,0.45,direct
实际,105022,0.451,actual
行业,103977,0.451,industry
结果,103886,0.452,result
选择,103695,0.452,choose
两岸,103574,0.453,both sides of the strait
作,103573,0.453,do
消费,103550,0.454,consumption
利用,103490,0.454,use
决定,103199,0.455,decide
会议,102977,0.455,meeting
量,102776,0.456,quantity
两,102728,0.456,two
审计,102688,0.457,audit
公共,102668,0.457,public
非,102660,0.458,no
而且,102628,0.458,and
旅游,102421,0.459,travel
小,102385,0.459,small
所有,102301,0.459,all
一般,101932,0.46,generally
战略,101772,0.46,strategy
推进,100965,0.461,advance
此,100915,0.461,this
成,100654,0.462,to make
因素,100295,0.462,factor
发,99170,0.463,send
会计,98954,0.463,accounting
促进,98826,0.464,promote
生,98724,0.464,pregnancy
支持,98497,0.465,support
比较,98385,0.465,compare
获得,97810,0.466,get
进一步,96701,0.466,further
数据,96525,0.466,data
亿元,96492,0.467,billion
自,96324,0.467,since
前,96213,0.468,forward
条,95773,0.468,strip
民族,95724,0.469,nationality
规划,95702,0.469,planning
万元,95579,0.47,million
劳动,95566,0.47,labor
次,95193,0.471,second-rate
那,94627,0.471,that
任何,94611,0.471,any
竞争,94590,0.472,compete
模式,94450,0.472,model
有效,94366,0.473,efficient
经,93675,0.473,through
以上,93637,0.474,above
形式,93430,0.474,form
传统,93386,0.475,tradition
保护,93055,0.475,protect
制,92919,0.475,system
项,92872,0.476,item
具体,92602,0.476,specific
表,92253,0.477,surface
财政,92241,0.477,financial
原则,92157,0.478,in principle
类,91799,0.478,kind
重点,91664,0.478,focus
达到,91064,0.479,achieve
点,91037,0.479,point
领域,90815,0.48,field
现代,90659,0.48,modern
发现,90456,0.481,find
成功,90425,0.481,success
处理,90238,0.481,deal with
工,90187,0.482,work
网络,90051,0.482,network
率,89547,0.483,rate
得,89479,0.483,have to
行,89330,0.484,row
工程,89125,0.484,project
现在,88852,0.484,now
按,88798,0.485,according to
日本,88524,0.485,Japan
应当,88201,0.486,should
开发,88195,0.486,develop
特别,87908,0.486,special
只有,87412,0.487,only
还是,87365,0.487,still
员工,87081,0.488,staff
程度,86696,0.488,degree
如何,86544,0.489,how
自然,86194,0.489,nature
规模,86164,0.489,scale
学校,85758,0.49,school
许多,85475,0.49,many
表现,85433,0.491,performance
参与,85285,0.491,participate
时候,85159,0.491,when
专业,84943,0.492,specialized
商品,84879,0.492,commodity
期,84855,0.493,expect
这一,84833,0.493,this
却,84719,0.493,but
意义,84358,0.494,significance
全面,84164,0.494,comprehensive
那么,83281,0.495,so
土地,83124,0.495,land
相,83029,0.495,mutually
综合,82952,0.496,comprehensive
县,82943,0.496,county
科技,82712,0.496,technology
执行,82682,0.497,implement
因,82430,0.497,because
外,82424,0.498,outside
北京,82410,0.498,Beijing
国务院,82298,0.498,State Department
取得,81608,0.499,get
群众,81560,0.499,the masses
阶段,81377,0.5,stage
事,81350,0.5,thing
世纪,81280,0.5,century
交易,81277,0.501,trade
按照,81170,0.501,according to
区域,80758,0.501,area
调整,80609,0.502,adjustment
推动,80545,0.502,promote
调查,80402,0.503,investigation
共同,80009,0.503,common
贸易,79922,0.503,trading
制定,79885,0.504,formulate
家庭,79705,0.504,family
费用,79621,0.504,cost
完善,79270,0.505,complete
利润,79259,0.505,profit
局,79228,0.506,bureau
保险,79035,0.506,insurance
都是,78984,0.506,both
产权,78867,0.507,property
起,78857,0.507,rise
型,78585,0.507,type
非常,78433,0.508,very
经验,78380,0.508,experience
甚至,77678,0.509,even
是否,77583,0.509,whether
无,77300,0.509,none
再,77219,0.51,again
长,77202,0.51,long
指标,77103,0.51,index
范围,77097,0.511,scope
进,77000,0.511,enter
任务,76916,0.511,task
每,76805,0.512,every
农民,76729,0.512,farmer
设计,76669,0.513,design
各种,76551,0.513,various
不仅,76430,0.513,not only
货币,76202,0.514,currency
很多,76186,0.514,a lot of
实践,76084,0.514,practice
方,75883,0.515,square
确定,75822,0.515,sure
措施,75745,0.515,measure
委员会,75137,0.516,committee
完全,74914,0.516,completely
统一,74829,0.516,Unite
目的,74792,0.517,purpose
意见,74778,0.517,opinion
品牌,74652,0.518,brand
职业,74477,0.518,profession
设备,74463,0.518,equipment
目前,74343,0.519,currently
时期,74297,0.519,period
只,74252,0.519,only
发挥,74027,0.52,play
居民,73940,0.52,resident
作出,73408,0.52,make
销售,73343,0.521,sales
知道,73155,0.521,know
充分,73039,0.521,full
结合,72993,0.522,combine
危机,72968,0.522,crisis
虽然,72907,0.522,although
事业,72581,0.523,cause
级,72527,0.523,class
才能,72496,0.523,talent
体,72296,0.524,body
国内,72136,0.524,domestic
论,72136,0.524,argument
产,72049,0.525,produce
继续,71866,0.525,continue
认识,71793,0.525,know
式,71756,0.526,mode
文学,71568,0.526,literature
至,71519,0.526,to
自由,71444,0.527,free
第一,71413,0.527,first
原因,71329,0.527,reason
运动,71155,0.528,sports
创造,71063,0.528,create
规范,70699,0.528,specification
功能,70647,0.529,function
监督,70529,0.529,supervise
资料,70488,0.529,material
起来,70488,0.53,stand up
采取,70364,0.53,take
从而,70184,0.53,thereby
馆,70106,0.531,Pavilion
内部,69945,0.531,internal
重大,69888,0.531,major
客户,69815,0.532,client
社,69602,0.532,society
就业,69584,0.532,employment
加,69557,0.533,add
努力,68881,0.533,effort
全球,68759,0.533,worldwide
人才,68683,0.534,talent
计算,68316,0.534,calculate
时代,67888,0.534,era
意识,67886,0.535,consciousness
坚持,67629,0.535,persist in
培训,67620,0.535,training
一次,67421,0.536,once
财务,67398,0.536,finance
度,67225,0.536,spend
明确,67114,0.537,clear
力量,66982,0.537,strength
参加,66978,0.537,join
想,66904,0.538,think
商,66809,0.538,business
第二,66729,0.538,second
考虑,66497,0.539,consider
才,66450,0.539,talent
机关,66417,0.539,organ
民主,66372,0.539,democracy
主,66310,0.54,host
商业,65685,0.54,business
只是,65678,0.54,only
支出,65665,0.541,expenditure
革命,65617,0.541,revolution
决策,65507,0.541,decision making
导致,65455,0.542,lead to
行动,65305,0.542,action
之后,65176,0.542,after
统计,65128,0.543,statistics
一切,64889,0.543,everything
呢,64769,0.543,Woolen cloth
出版,64724,0.543,publishing
受,64632,0.544,by
接受,64296,0.544,accept
无法,63927,0.544,unable to
主体,63457,0.545,main body
定,63281,0.545,certainly
负责,62842,0.545,responsible
评估,62739,0.546,evaluate
理,62650,0.546,reason
以下,62629,0.546,the following
中小,62576,0.546,small and medium
造成,62418,0.547,cause
贯彻,62269,0.547,implement
长期,62176,0.547,long
了解,62141,0.548,learn
占,62077,0.548,take up
现实,61844,0.548,reality
改变,61818,0.548,change
评价,61815,0.549,evaluation
受到,61739,0.549,received
文,61703,0.549,arts
教学,61640,0.55,teaching
未来,61575,0.55,future
地位,61562,0.55,status
指导,61503,0.551,guide
一样,61417,0.551,same
那些,61398,0.551,those ones
干部,61351,0.551,cadre
保持,61177,0.552,keep
位,61113,0.552,bit
体制,60880,0.552,system
稳定,60875,0.553,stabilize
章,60861,0.553,chapter
大陆,60853,0.553,mainland
分配,60846,0.553,distribute
书,60515,0.554,book
反映,60355,0.554,reflect
预算,60119,0.554,budget
扩大,60118,0.555,expand
进入,60063,0.555,enter
美元,60009,0.555,dollar
较,59993,0.555,compare
文明,59910,0.556,civilization
实,59842,0.556,reality
资,59744,0.556,capital
交流,59531,0.556,comminicate
卫生,59396,0.557,health
优势,59373,0.557,advantage
集团,59364,0.557,group
基金,59339,0.558,fund
孩子,58912,0.558,child
设施,58749,0.558,facility
两个,58745,0.558,two
正,58738,0.559,just
减少,58719,0.559,reduce
应用,58680,0.559,application
采用,58581,0.56,use
年代,58320,0.56,era
语言,58306,0.56,language
处,58267,0.56,where
权力,58160,0.561,that power
它们,58096,0.561,they
办法,57930,0.561,method
权利,57899,0.561,right
程序,57864,0.562,program
共,57789,0.562,common
开,57788,0.562,open
提升,57700,0.563,promote
核心,57631,0.563,core
方案,57616,0.563,program
名,57601,0.563,name
重,57463,0.564,heavy
真正,57405,0.564,real
心理,57403,0.564,psychology
自身,57297,0.564,itself
现,57204,0.565,now
说明,57202,0.565,illustrate
理解,57027,0.565,understand
话,56726,0.566,talk
组,56600,0.566,group
医药,56598,0.566,medicine
联系,56580,0.566,connect
健康,56475,0.567,healthy
城镇,56389,0.567,town
总额,56148,0.567,lump sum
例如,56050,0.567,for example
医疗,56005,0.568,medical
现象,55978,0.568,phenomenon
落实,55923,0.568,implement
平均,55898,0.568,average
开放,55889,0.569,open
协调,55789,0.569,coordination
成立,55718,0.569,established
希望,55688,0.569,hope
贷款,55489,0.57,loan
能源,55337,0.57,energy
六,55333,0.57,six
西方,55276,0.571,the west
自我,55226,0.571,self
空间,55185,0.571,space
特征,55144,0.571,feature
分别,54985,0.572,respectively
并且,54959,0.572,and
合理,54894,0.572,reasonable
培养,54870,0.572,nourish
保证,54764,0.573,ensure
实行,54761,0.573,implement
图,54716,0.573,picture
艺术,54637,0.573,art
当时,54631,0.574,then
持续,54587,0.574,continued
生命,54438,0.574,life
成果,54419,0.574,achievement
整个,54261,0.575,entire
物,54129,0.575,thing
独立,54089,0.575,independent
集中,53999,0.575,concentrated
最后,53973,0.576,at last
越,53913,0.576,cross
拥有,53892,0.576,have
上海,53834,0.576,Shanghai
根本,53828,0.577,fundamental
加快,53802,0.577,accelerate
检查,53631,0.577,an examination
更加,53582,0.577,more
首先,53483,0.578,first
以后,53276,0.578,after
帮助,53100,0.578,help
表示,53093,0.578,express
台,53047,0.579,tower
职工,53033,0.579,staff
概念,52960,0.579,concept
体现,52939,0.579,reflect
动,52815,0.58,move
特点,52783,0.58,features
机会,52774,0.58,chance
出来,52772,0.58,come out
满足,52645,0.581,satisfy
美,52604,0.581,nice
数量,52478,0.581,quantity
供应,52337,0.581,supply
投入,52269,0.582,put in
低,52232,0.582,low
政,52076,0.582,politics
相对,52011,0.582,relatively
制造,51989,0.583,manufacture
建议,51902,0.583,suggest
值,51877,0.583,value
指出,51817,0.583,point out
第三,51801,0.584,third
强,51674,0.584,powerful
建,51662,0.584,establish
英国,51622,0.584,U.K.
不会,51424,0.585,Won't
出口,51371,0.585,export
关键,51263,0.585,the essential
件,51091,0.585,piece
状况,50990,0.586,situation
深入,50945,0.586,in-depth
民,50840,0.586,civil
效率,50613,0.586,efficiency
信,50541,0.587,letter
讨论,50419,0.587,discuss
面,50349,0.587,noodle
费,50218,0.587,fee
事件,50097,0.587,event
事情,49940,0.588,matter
最大,49940,0.588,maximum
未,49924,0.588,not yet
严重,49879,0.588,serious
交通,49870,0.589,transportation
最终,49784,0.589,finally
生态,49777,0.589,ecology
对象,49749,0.589,object
电影,49732,0.59,movie
合同,49729,0.59,contract
状态,49646,0.59,state
管,49641,0.59,tube
明显,49636,0.591,obvious
养老,49486,0.591,old age
宣传,49345,0.591,publicity
以来,49271,0.591,since
当地,49123,0.591,local
收益,49033,0.592,income
比重,49023,0.592,proportion
下降,49001,0.592,decline
社会主义,48987,0.592,socialism
正确,48921,0.593,correct
安排,48884,0.593,arrange
社区,48818,0.593,community
成员,48798,0.593,member
系,48720,0.594,tie
强调,48712,0.594,emphasize
双方,48696,0.594,both sides
差异,48576,0.594,difference
举办,48408,0.594,hold
全部,48392,0.595,all
经过,48299,0.595,go through
工资,48286,0.595,salary
集体,48257,0.595,collective
解释,48210,0.596,explain
相互,48153,0.596,mutual
员,48131,0.596,member
材料,48079,0.596,material
往往,48036,0.596,often
金,47958,0.597,gold
心,47807,0.597,heart
特色,47789,0.597,feature
当然,47776,0.597,certainly
而是,47733,0.598,but
合,47730,0.598,combine
公,47656,0.598,male
必要,47625,0.598,necessary
整体,47589,0.599,overall
东西,47533,0.599,thing
九,47461,0.599,nine
国有,47359,0.599,State-owned
关,47331,0.599,close
机,46936,0.6,machine
某,46861,0.6,certain
入,46780,0.6,enter
用户,46739,0.6,user
监管,46548,0.6,supervision
道德,46528,0.601,morality
就会,46473,0.601,will
大会,46468,0.601,General Assembly
城乡,46459,0.601,urban and rural
少,46363,0.602,few
账户,46362,0.602,account
超过,46360,0.602,exceed
水,46353,0.602,water
几,46327,0.602,several
在于,46308,0.603,lies in
运用,46306,0.603,use
通信,46292,0.603,communication
协议,46107,0.603,protocol
大量,46095,0.604,a lot
符合,46040,0.604,meets the
构成,46014,0.604,constitute
困难,45996,0.604,difficulty
人大,45900,0.604,National People's Congress
问,45825,0.605,ask
观念,45790,0.605,concept
手段,45599,0.605,means
战争,45591,0.605,war
准备,45589,0.605,prepare
支付,45538,0.606,pay
然而,45229,0.606,however
治理,45168,0.606,governance
面积,45167,0.606,area
反,45144,0.607,opposite
有限,45128,0.607,limited
计,45118,0.607,count
百,45097,0.607,hundred
设,45084,0.607,assume
马克思,45049,0.608,Marx
如此,45037,0.608,in this way
比例,45034,0.608,proportion
别人,45033,0.608,other people
属于,44946,0.608,belong
一直,44900,0.609,always
这里,44633,0.609,here
观,44607,0.609,view
降低,44564,0.609,reduce
物质,44433,0.61,substance
关注,44378,0.61,focus on
展,44249,0.61,exhibition
像,44225,0.61,picture
运输,44223,0.61,transportation
教师,44192,0.611,teacher
道,44033,0.611,road
方向,44021,0.611,direction
过去,43847,0.611,past
观点,43712,0.611,view
提,43674,0.612,carry
一点,43602,0.612,a little
学者,43547,0.612,scholar
注意,43525,0.612,notice
重视,43457,0.612,pay attention to
史,43427,0.613,history
报,43401,0.613,newspaper
及其,43396,0.613,and
副,43345,0.613,vice
维护,43343,0.613,maintain
期间,43308,0.614,period
有些,43268,0.614,some
来说,43189,0.614,for
产量,43128,0.614,yield
带来,43124,0.614,bring
同样,42892,0.615,same
随着,42871,0.615,along with
信贷,42806,0.615,credit
矛盾,42793,0.615,contradiction
制造业,42748,0.615,manufacturing
良好,42727,0.616,good
新闻,42563,0.616,news
改善,42554,0.616,improve
品,42462,0.616,taste
所谓,42389,0.616,so-called
尤其,42373,0.617,especially
吗,42269,0.617,do you
联合,42194,0.617,joint
申请,42170,0.617,application
及时,42083,0.617,timely
户,42071,0.618,household
增强,42036,0.618,enhance
组成,41974,0.618,composition
态度,41839,0.618,manner
涉及,41836,0.618,involve
哲学,41654,0.619,philosophy
带,41646,0.619,bring
保,41619,0.619,save
本身,41531,0.619,itself
先,41473,0.619,first
还有,41416,0.62,and also
不要,41302,0.62,don't want
并不,41193,0.62,not
依据,41191,0.62,in accordance with
更多,41157,0.62,more
转变,41107,0.621,change
额,40978,0.621,forehead
效果,40924,0.621,effect
人力,40857,0.621,manpower
复杂,40790,0.621,complex
登记,40748,0.622,register
变,40739,0.622,change
工具,40657,0.622,tool
缺乏,40630,0.622,lack
只要,40422,0.622,if only
教,40358,0.623,teach
类型,40352,0.623,type
和平,40287,0.623,peace
趋势,40286,0.623,trend
其实,40232,0.623,actually
办,40215,0.623,manage
收,40112,0.624,receive
容易,40104,0.624,easy
购买,40035,0.624,buy
运行,40027,0.624,run
务,40013,0.624,service
专家,39920,0.625,expert
承担,39840,0.625,bear
基层,39818,0.625,grassroots
学术,39809,0.625,academic
原,39741,0.625,original
要素,39723,0.626,elements
流动,39695,0.626,flow
既,39681,0.626,now that
沟通,39601,0.626,communicate
角度,39522,0.626,angle
限制,39515,0.626,limit
总体,39453,0.627,overall
通常,39441,0.627,usually
文件,39423,0.627,document
德国,39413,0.627,Germany
农,39395,0.627,farmer
代,39302,0.628,generation
事实,39301,0.628,fact
电子,39282,0.628,electronic
模型,39275,0.628,model
达,39232,0.628,up to
平台,39161,0.628,platform
利于,39139,0.629,benefit
建筑,39092,0.629,architecture
层次,39071,0.629,level
处于,39062,0.629,in
尽管,39029,0.629,although
委,39002,0.63,commission
作品,38942,0.63,work
特殊,38924,0.63,special
逐步,38901,0.63,step by step
线,38897,0.63,wire
无论,38738,0.631,regardless
针对,38724,0.631,against
号,38517,0.631,no
每个,38513,0.631,each
出台,38387,0.631,introduced
同比,38267,0.631,year-on-year
香港,38252,0.632,Hongkong
天,38220,0.632,sky
学院,38204,0.632,college
医院,38149,0.632,hospital
欧洲,38131,0.632,Europe
发行,38039,0.632,issued
宗教,38004,0.633,religion
广泛,37898,0.633,widely
通,37857,0.633,pass
引起,37811,0.633,cause
七,37795,0.633,seven
些,37792,0.634,some
场,37750,0.634,field
书记,37693,0.634,secretary
党员,37644,0.634,party member
召开,37635,0.634,held
创业,37632,0.634,start a business
然后,37618,0.635,then
追求,37534,0.635,pursue
来源,37446,0.635,source
院,37357,0.635,hospital
和谐,37337,0.635,harmonious
全市,37303,0.636,citywide
大学生,37301,0.636,college students
公民,37295,0.636,citizen
谈判,37265,0.636,negotiation
编制,37259,0.636,prepared by
从事,37255,0.636,engage in
简单,37248,0.637,simple
来自,37245,0.637,from
吨,37182,0.637,ton
显,37172,0.637,show
运营,37102,0.637,operation
校,37017,0.637,school
表明,36995,0.638,show
公开,36951,0.638,public
突出,36949,0.638,protrude
人数,36923,0.638,number of people
先进,36885,0.638,advanced
分类,36881,0.638,classification
另,36874,0.639,other
掌握,36871,0.639,master
粮食,36777,0.639,food
进步,36749,0.639,progress
税,36699,0.639,tax
认真,36662,0.64,serious
群体,36608,0.64,group
营销,36551,0.64,marketing
仍然,36550,0.64,still
上述,36538,0.64,the above
除了,36531,0.64,apart from
不过,36479,0.641,but
讲,36446,0.641,speak
证券,36410,0.641,securities
大家,36332,0.641,everyone
便,36311,0.641,poop
看到,36259,0.641,see
电话,36233,0.642,telephone
损失,36230,0.642,loss
汽车,36191,0.642,car
巨大,36175,0.642,huge
转移,36161,0.642,transfer
相应,36153,0.642,corresponding
消费者,36135,0.643,consumer
生存,36049,0.643,survive
煤炭,36045,0.643,coal
电信,35977,0.643,telecommunications
为什么,35960,0.643,why
且,35952,0.643,and
当前,35932,0.644,current
据,35822,0.644,according to
商务,35757,0.644,business
十分,35696,0.644,very
人生,35685,0.644,life
面临,35604,0.644,face
性质,35601,0.645,nature
近,35555,0.645,close
适应,35538,0.645,adapt
证明,35506,0.645,prove
即使,35302,0.645,even though
利,35295,0.645,profit
普通,35245,0.646,ordinary
媒体,35223,0.646,media
严格,35204,0.646,strict
之前,35150,0.646,before
现金,35129,0.646,cash
经常,35105,0.646,often
物流,35044,0.647,logistics
不可,35011,0.647,not possible
阶级,35010,0.647,class
各个,34965,0.647,each
普遍,34912,0.647,universal
注册,34840,0.647,register
强烈,34812,0.648,strong
财产,34761,0.648,property
基于,34753,0.648,based on
引导,34713,0.648,guide
写,34705,0.648,write
冶,34680,0.648,smelt
贡献,34618,0.649,contribute
网,34561,0.649,network
页,34537,0.649,page
今年,34440,0.649,this year
压力,34422,0.649,pressure
外资,34393,0.649,foreign investment
之一,34362,0.65,one
增,34345,0.65,increase
调研,34328,0.65,research
鼓励,34277,0.65,encourage
正式,34269,0.65,formal
规律,34240,0.65,law
策略,34219,0.651,strategy
女性,34187,0.651,female
没,34057,0.651,no
理念,34049,0.651,idea
发表,34026,0.651,post
工人,34020,0.651,worker
格局,33965,0.651,pattern
使得,33953,0.652,make
最高,33881,0.652,highest
高度,33878,0.652,high
各地,33853,0.652,everywhere
改造,33843,0.652,Retrofit
年末,33804,0.652,year-end
比如,33794,0.653,for example
走,33769,0.653,walk
均,33759,0.653,all
中共,33752,0.653,CCP
政协,33661,0.653,CPPCC
价,33592,0.653,price
法规,33590,0.654,regulations
科,33561,0.654,division
固定,33560,0.654,fixed
汇率,33527,0.654,exchange rate
错误,33469,0.654,mistake
题,33458,0.654,question
指数,33430,0.655,index
道路,33406,0.655,the way
样,33401,0.655,sample
制品,33367,0.655,product
任,33322,0.655,appoint
重新,33302,0.655,again
思考,33232,0.655,think
八,33203,0.656,eight
劳动力,33152,0.656,labor force
设立,33149,0.656,set up
神,33100,0.656,God
外部,32952,0.656,external
食品,32949,0.656,food
村,32926,0.657,village
军事,32919,0.657,military
规则,32889,0.657,rule
年度,32874,0.657,year
约,32869,0.657,about
各国,32868,0.657,countries
课程,32834,0.657,course
改,32826,0.658,change
国民,32798,0.658,national
职能,32797,0.658,function
司法,32760,0.658,judicial
路,32663,0.658,road
觉得,32646,0.658,feel
探索,32593,0.659,explore
客观,32567,0.659,objective
乡镇,32529,0.659,township
